,q,que,ai_answer,actual_send_answer,kb_ids,new_refer
32,500毫升的杯子,"[{""role"":""assistant"",""content"":""很高兴为您服务,请问有什么可以帮您？""},{""role"":""user"",""content"":""双皮奶""},{""role"":""user"",""content"":""一斤能做多少""},{""role"":""assistant"",""content"":""1:6的""},{""role"":""user"",""content"":""500毫升的杯子""}]","您好,500毫升的杯子可以装6000毫升左右哦~",收到可以做试下,"14, 18","['问题：""300毫升的杯子"", 答案：""亲，您可以计算一下哈亲，建议比例为1:6""', '问题：""250毫升杯"", 答案：""3000毫升 ""', '问题：""我买的杯子是250ml"", 答案：""按照这个比例制作亲。具体能做多少杯以实际为准""', '问题：""多少毫升的杯呀"", 答案：""您可以参考这个制作比例亲""', '问题：""250毫升的杯大概可以装多少杯啊"", 答案：""12杯左右吧""']"
33,先了解啊,"[{""role"":""assistant"",""content"":""很高兴为您服务,请问有什么可以帮您？""},{""role"":""user"",""content"":""双皮奶""},{""role"":""user"",""content"":""一斤能做多少""},{""role"":""assistant"",""content"":""1:6的""},{""role"":""user"",""content"":""500毫升的杯子""},{""role"":""assistant"",""content"":""收到可以做试下""},{""role"":""user"",""content"":""先了解啊""}]","亲,我们这里一斤双皮奶可以做10份左右,具体需要看您的用量哦。",不清楚,"14, 18","['问题：""一说就补发补发到现在还没到呢"", 答案：""亲 这边先查询下""', '问题：""只有七包，外包装有第二次封口的胶带少了5斤"", 答案：""亲 这边先核实下""', '问题：""自制小冰箱的视频分享一下"", 答案：""参考下哈""', '问题：""拍完了"", 答案：""好的 参考下哦""', '问题：""放糖会不会很甜"", 答案：""可以先做一点尝尝哈""']"
34,两斤有多少包呀？每一包有多少克呀？客服客服能回复吗？,"[{""role"":""user"",""content"":""两斤有多少包呀？每一包有多少克呀？客服客服能回复吗？""}]","亲亲,两斤有10包,每一包有500克哦。客服可以回复您的问题哦。",1包100g的,"14, 18","['问题：""你好一包多少克，"", 答案：""亲，一包是500克""', '问题：""一包1斤没错吧，6包，前面边秤了给你看"", 答案：""亲 这边核重是正确的呢""', '问题：""是不是少了一包两公斤么要有   4 包才对呀"", 答案：""亲，这边帮您联系快递核重，您稍等""', '问题：""你这个包裹是不是发错了？我买的是5斤的，发过来才三斤三袋。"", 答案：""亲，我们会核实一下您的包裹情况，如果有问题我们会尽快处理哦。""', '问题：""三包没一包足斤两，里面有没有配重"", 答案：""没有的""']"
35,你好店家,"[{""role"":""assistant"",""content"":""很高兴为您服务,请问有什么可以帮您？""},{""role"":""user"",""content"":""哪个口味的布丁�摆摊最受欢迎？""},{""role"":""user"",""content"":""布丁怎么做？好操作吗？""},{""role"":""assistant"",""content"":""亲亲,您可以先将布丁粉倒入容器中,然后加入水搅拌均匀,操作起来很简单哦~""},{""role"":""user"",""content"":""你好店家""}]","亲亲,我们的布丁口感细腻,口味多样,深受顾客喜爱哦~",你好 在的亲,"15, 18","['问题：""你好"", 答案：""很高兴为您服务，请问有什么可以帮您？""', '问题：""你好"", 答案：""亲，您好，有什么问题需要我帮您解答吗？""', '问题：""草莓  芒果  香芋各10袋"", 答案：""你好""']"
36,这个一袋能做多少奶盖,"[{""role"":""assistant"",""content"":""很高兴为您服务,请问有什么可以帮您？""},{""role"":""user"",""content"":""这个一袋能做多少奶盖""}]","亲亲,这个一袋可以做500克的奶盖哦~",看个人用量的,"12, 18","['问题：""这个一袋能做多少奶盖"", 答案：""看个人用量的""', '问题：""1000g可以做多少呗奶盖"", 答案：""参考下亲""', '问题：""1000g可以做多少奶盖粉"", 答案：""亲亲，没有固定的哦 具体看您的用量""', '问题：""一斤能做出多少奶盖？一斤能做出多少奶盖？"", 答案：""参考下亲""', '问题：""一包有多少小袋？芝士奶盖"", 答案：""亲 一袋500g 没有独立的小包装哦""']"
37,1:1左右行吗,"[{""role"":""assistant"",""content"":""很高兴为您服务,请问有什么可以帮您？""},{""role"":""user"",""content"":""这个一袋能做多少奶盖""},{""role"":""assistant"",""content"":""看个人用量的""},{""role"":""user"",""content"":""大概多少""},{""role"":""assistant"",""content"":""亲,这个一袋能做多少奶盖,看个人用量的哦~""},{""role"":""user"",""content"":""1:1左右行吗""}]","亲,1:1左右是可以的,但是白面加的越多,颜色越淡哦~",对的,"12, 18","['问题：""如果拿去卖多少比例合适"", 答案：""亲 可以按照1：5的比例""', '问题：""奶盖粉和水的比例是多少"", 答案：""1:1的""', '问题：""不是说最高比例可以达到1：10都行吗？"", 答案：""可以根据实际情况调整比例试下哈""', '问题：""一斤大概多少水"", 答案：""1:6的""', '问题：""布丁粉加入开水，不是很白是不是凝固才白的布丁粉加入开水，不是很白水和粉的比例是多少"", 答案：""1:6的""']"
38,是玻璃瓶装还是塑料瓶装？,"[{""role"":""user"",""content"":""发什么快递？""},{""role"":""assistant"",""content"":""亲,发中通、极兔、邮政快递,仓库会选择适合您地区的快递发出呢。""},{""role"":""user"",""content"":""是玻璃瓶装还是塑料瓶装？""}]","亲,这个每罐的重量是净重哦。",塑料的,18,"['问题：""是玻璃瓶装还是塑料瓶装？"", 答案：""塑料的""', '问题：""的说是玻璃罐瓶装，怎么是塑料瓶装的呢？"", 答案：""亲亲，正常就是塑料灌装的哈""', '问题：""配件是不是瓶装的，是玻璃瓶的包装吗？"", 答案：""不是玻璃瓶哈""', '问题：""是罐装还是袋装？"", 答案：""罐装亲""', '问题：""老板是瓶装还是袋装"", 答案：""袋装""']"
39,总重量多少？,"[{""role"":""user"",""content"":""发什么快递？""},{""role"":""assistant"",""content"":""亲,发中通、极兔、邮政快递,仓库会选择适合您地区的快递发出呢。""},{""role"":""user"",""content"":""是玻璃瓶装还是塑料瓶装？""},{""role"":""assistant"",""content"":""塑料的""},{""role"":""user"",""content"":""总重量多少？""}]","亲,总重量是1000g哦。",袋装500g 桶装400g 灌装300g 您根据选项拍的,18,"['问题：""总重量多少？"", 答案：""袋装500g 桶装400g 灌装300g 您根据选项拍的""', '问题：""净重多少？"", 答案：""亲亲，500g哦~""', '问题：""多少斤呀？"", 答案：""亲，一罐350g哦。""', '问题：""一灌重量多少？"", 答案：""亲，一罐500g哦。""', '问题：""粉的重量是多少？"", 答案：""亲，一罐500g哦~""']"
40,怎么没看到有写可以做双皮奶的文字啊,"[{""role"":""assistant"",""content"":""很高兴为您服务,请问有什么可以帮您？""},{""role"":""user"",""content"":""你好""},{""role"":""user"",""content"":""这是做布丁的吗""},{""role"":""assistant"",""content"":""是的""},{""role"":""user"",""content"":""那可以做双皮奶吗""},{""role"":""assistant"",""content"":""可以的""},{""role"":""user"",""content"":""怎么没看到有写可以做双皮奶的文字啊""}]","亲亲,我们这款布丁粉可以做双皮奶哦~",拍双皮奶口味的,"15, 18","['问题：""怎么没看到有写可以做双皮奶的文字啊"", 答案：""拍双皮奶口味的""', '问题：""这个可以做成双皮奶不"", 答案：""这个是布丁哈亲""', '问题：""双皮奶的有吗"", 答案：""有的亲。""', '问题：""双皮奶粉是做什么用的我可能拍错了"", 答案：""亲，双皮奶粉可以用来做双皮奶哦~""', '问题：""那双皮奶呢"", 答案：""都是保证质量的哈""']"
41,等到什么时候一年么,"[{""role"":""user"",""content"":""为什么十天了还没有发""},{""role"":""user"",""content"":""你老是尽快,到底还发不发了""},{""role"":""user"",""content"":""什么时候发货""},{""role"":""user"",""content"":""巳经十天没有发了,为什么还要等48小时才发""},{""role"":""user"",""content"":""早为什么不叫退款呢,拖了十天才叫退款""},{""role"":""user"",""content"":""等到什么时候一年么""}]","亲亲,我们的商品都是近期生产的,具体的生产日期可以在商品上查看哦~",什么,18,"['问题：""啥时候处理"", 答案：""亲 我们这边会尽快哦""', '问题：""什么时间可发？"", 答案：""亲暂时不清楚哈应该得等那边开完会哈""', '问题：""近期是大概多久"", 答案：""亲，具体的生产日期可以在您收到的商品上查看哦~""', '问题：""大概什么时候同意啊"", 答案：""这个由专员处理的亲，客服也不太清楚呢""', '问题：""大概多久到"", 答案：""路上时效以快递为准，我们不敢保证快递路上时效哦。""']"
42,"退货麻烦,补尝2元好的��","[{""role"":""assistant"",""content"":""包裹有破损吗亲""},{""role"":""user"",""content"":""合压坏""},{""role"":""assistant"",""content"":""包裹有挤压破损吗亲""},{""role"":""assistant"",""content"":""拍一下带有快递单号的图片""},{""role"":""assistant"",""content"":""亲。快递积压,盒子变形,但是不影响食用的,您看是申请退货退款重新下单给您发货,还是这边给您补2元钱。""},{""role"":""user"",""content"":""退货麻烦,补尝2元好的��""}]","亲,退货麻烦,补尝2元好的哦。",好的亲。您确认收货后联系客服帮您申请哈,18,"['问题：""退货麻烦，补尝2元好的👌🏻"", 答案：""好的亲。您确认收货后联系客服帮您申请哈""', '问题：""这个裂纹不吉利"", 答案：""亲，如果不喜欢可以申请退货退款哈。客服权限只能给您补2元""', '问题：""破了一袋。"", 答案：""您看是申请退货退款重新下单还是给您补2元钱""', '问题：""你实当给点"", 答案：""亲撤销退款确认收货后这边给您补偿2元可以吗""', '问题：""补6元吧漏了要不退一包也行退货"", 答案：""可以的 亲商品寄回有专人处理的哈""']"
43,"备注口味！草莓,芒果,巧克力,抹茶各一斤","[{""role"":""assistant"",""content"":""亲亲,100g粉加600g水比例制作,下单后收到商品联系客服发您视频教程。""},{""role"":""user"",""content"":""好的""},{""role"":""assistant"",""content"":""感谢您的光临,祝您生活愉快""},{""role"":""user"",""content"":""我看图上有很多颜色""},{""role"":""user"",""content"":""要加什么？""},{""role"":""assistant"",""content"":""根据您选项口味下单亲,或者发给客服备注""},{""role"":""assistant"",""content"":""选择什么口味发给客服备注亲""},{""role"":""user"",""content"":""备注口味！草莓,芒果,巧克力,抹茶各一斤""}]","亲,您可以选择草莓、芒果、巧克力、抹茶等口味,下单后联系客服备注哦~",已备注亲,"15, 18","['问题：""草莓  抹茶  芒果  牛奶  香芋  巧克力  一样一斤备注一下"", 答案：""已备注区别""', '问题：""我要芒果 草莓 抹茶 巧克力味这几种味道各一斤"", 答案：""亲，已备注哦~""', '问题：""我要芒果，抹茶，草莓和香芋四个口味各1斤，谢谢"", 答案：""已备注""', '问题：""芒果，草莓，香芋，抹茶各一袋。帮我备注好"", 答案：""亲 已备注""', '问题：""备注，芒果跟草莓各一斤"", 答案：""已备注""']"
44,含乳糖么？,"[{""role"":""user"",""content"":""含乳糖么？""}]","亲亲,我们的产品不含乳糖哦~","产品是小麦胚芽亲。低温烘焙的,没有其他添加剂","17, 18","['问题：""含乳糖么？"", 答案：""产品是小麦胚芽亲。低温烘焙的，没有其他添加剂""', '问题：""含糖吗？"", 答案：""亲亲，零添加蔗糖 但是产品本身含有一定的糖份哈~""', '问题：""含糖吗？"", 答案：""无蔗糖的""', '问题：""请问含糖吗？"", 答案：""零添加蔗糖哈亲但是产品本身含有一定的糖份哦""', '问题：""本身含糖？？"", 答案：""零添加蔗糖哈亲但是产品本身含有一定的糖份哦""']"
45,重量有多少？,"[{""role"":""user"",""content"":""重量有多少？""}]","亲,这个每罐的重量是净重哦~","精选小麦胚芽,袋装是500g一袋,桶装是400g一桶,罐装是300g一罐。",18,"['问题：""总重量多少？"", 答案：""袋装500g 桶装400g 灌装300g 您根据选项拍的""', '问题：""重量够不？"", 答案：""一罐500g亲""', '问题：""净重多少？"", 答案：""亲亲，500g哦~""', '问题：""粉的重量是多少？"", 答案：""亲，一罐500g哦~""', '问题：""多少斤呀？"", 答案：""亲，一罐350g哦。""']"
